Country,Year,Gross.capital.formation,Gross.operating.surplus.and.mixed.income,Subsidies_received,Taxes.on.production.and.imports_paid,investment_gross_operating_surplus_ratio_after_tax
Austria,1995,25678,36707.9,1660.5,4190.1,0.7512954125863486
Austria,1996,26935.8,38900.6,1679.4,4270.1,0.7418307403765915
Austria,1997,29247.6,42700.4,1586,4425.4,0.7337397456160156
Austria,1998,31017.5,45348,1954.2,4608.3,0.726508939216141
Austria,1999,32649,46780.6,1970.6,4684.7,0.740902953490747
Austria,2000,34546.9,51526.2,2000.3,4866.2,0.7099606866377725
Austria,2001,36129.1,54016.8,1812.4,5085.9,0.7119974459682361
Austria,2002,34596.8,56342.5,1729.9,5272.3,0.6552411832553349
Austria,2003,36972.2,57813.2,2022,5409.9,0.6793200956172957
Austria,2004,39209.6,62745.3,2506.3,5469.3,0.6558730594172522
Austria,2005,38221.4,66647.2,2680.3,5516.2,0.5989754165798221
Austria,2006,41810.2,72450.8,2864.5,5768.6,0.6011816520410026
Austria,2007,45864.3,78225,2907.7,6033.6,0.6107170392188456
Austria,2008,45387.7,77565.2,3105.4,6445.2,0.6114847478087017
Austria,2009,38379.2,70624.1,3160.1,6503.9,0.5704374088700555
Austria,2010,39682.6,73265.7,3253.3,6720.2,0.5685283987690333
Austria,2011,46263.4,77357.3,3198.7,7461.6,0.6329267358374924
Austria,2012,48107.3,76654.2,3278.3,7882.1,0.6676895617512187
Austria,2013,48285.9,76044.1,2940,8184.6,0.6820090537362552
Austria,2014,49197.6,77761.3,3148,8488.3,0.6793278192789384
Austria,2015,49723.3,79403.4,3245.7,8639.6,0.6718502354427474
Belgium,1995,26895.2,46209.8,2260.3,2235.5,0.5817115320560792
Belgium,1996,28803.4,46450.9,2574.1,2335.5,0.6169138671435762
Belgium,1997,30692.4,48646,2338,2639.7,0.6348711223453437
Belgium,1998,33227.3,51087.7,2503.8,2657,0.6523535128449284
Belgium,1999,34616,52060,2675.2,2857.7,0.6672642282299648
Belgium,2000,40091,56738.4,2696.5,2821.9,0.7081589034320739
Belgium,2001,39834.1,56521.3,2822.9,2889.1,0.7055890433282377
Belgium,2002,36752.5,59789.8,2932.7,2689.7,0.6122069935102143
Belgium,2003,38064.9,63360.3,3106.4,2889.6,0.5987202939423156
Belgium,2004,44695.4,71971.6,3474.7,2977.9,0.6167570968863669
Belgium,2005,47871.1,76988.5,4180,2911.5,0.6117165237614526
Belgium,2006,50558.4,81178.1,5475.4,3151.7,0.6054767681654767
Belgium,2007,54381.4,87360.2,6487.9,3139.1,0.599514932366138
Belgium,2008,59492.1,86113.7,7536,3539.9,0.6602178675349407
Belgium,2009,45332,82739.5,8251.4,3615.9,0.5188211731044349
Belgium,2010,51751.5,92978.2,9493.4,3846.3,0.5247284418906711
Belgium,2011,58645.5,96501.9,10234.5,4210.2,0.5720050094512428
Belgium,2012,56928.3,94855,10495.8,5629.6,0.5708745983802843
Belgium,2013,55233.2,95250.4,10908.9,5247.5,0.5473413416468639
Belgium,2014,59991,99802,11183.5,5447.6,0.5684308670155461
Belgium,2015,62095.3,105622.1,11283.1,5460.1,0.5571828640290152
Czech Republic,1995,396205,420063,13627,11469,0.9383829795296776
Czech Republic,1996,479148,480565,13387,12185,0.9945637621505832
Czech Republic,1997,446637,514773,19761,9195,0.8501881642139647
Czech Republic,1998,449700,611970,32774,8776,0.7071110496125591
Czech Republic,1999,445281,623016,32891,11874,0.6913946956134235
Czech Republic,2000,509267,671073,30209,11669,0.738482308193146
Czech Republic,2001,583130,750524,36424,12673,0.7531303477446644
Czech Republic,2002,558522,747540,25389,11870,0.7338747718639422
Czech Republic,2003,471909,780819,26740,9755,0.5915099447984719
Czech Republic,2004,605869,859217,25140,11366,0.6940151731232052
Czech Republic,2005,617891,939454,31620,9654,0.6426858188928876
Czech Republic,2006,691503,1051361,33363,11193,0.6441388278494053
Czech Republic,2007,841665,1177586,35434,11533,0.70051943966102
Czech Republic,2008,828699,1214045,36288,10390,0.6683363670749382
Czech Republic,2009,606882,1142954,43483,9900,0.5158205819281502
Czech Republic,2010,654281,1143823,39328,13539,0.5594000403552631
Czech Republic,2011,703637,1157476,38847,18064,0.5971836412876965
Czech Republic,2012,704514,1148883,39735,17468,0.6015574435384025
Czech Republic,2013,672951,1165533,39389,15143,0.565610083889529
Czech Republic,2014,720997,1323770,39748,15376,0.5348079059920987
Czech Republic,2015,767453,1404154,39708,17063,0.5378844532411363
Denmark,1995,131810,221794,12855,8735,0.5834521100949919
Denmark,1996,125285,230512,14313,8909,0.531057664592482
Denmark,1997,151651,248594,13900,10670,0.6022102738420484
Denmark,1998,168437,240783,13418,12469,0.6967923154567869
Denmark,1999,155910,265913,11445,12512,0.5886817244738451
Denmark,2000,178841,315642,10254,11913,0.5695881624164365
Denmark,2001,179303,307111,10070,13591,0.5906090450937119
Denmark,2002,184074,310919,10898,13763,0.5975380939705376
Denmark,2003,173716,315943,10323,14020,0.5563433959121974
Denmark,2004,192116,342357,10776,14548,0.5674084794069436
Denmark,2005,198575,362435,11672,14987,0.5529488750278458
Denmark,2006,226607,393160,12763,15635,0.5806148280244332
Denmark,2007,248102,383139,13479,16948,0.6534674849211157
Denmark,2008,248483,401807,13355,17485,0.6248362364431436
Denmark,2009,187136,351166,19829,17905,0.5299951853635051
Denmark,2010,187738,411522,20261,19516,0.4553796447447892
Denmark,2011,199270,420958,19506,20521,0.4745167796581917
Denmark,2012,212325,443672,19587,20876,0.4799574124683815
Denmark,2013,230216,450069,19016,26043,0.5196256788295467
Denmark,2014,232784,460176,18292,26961,0.5155711871576741
Denmark,2015,239715,481539,18060,27198,0.5074396540227476
Denmark,2016,245217,454779,17583,28798,0.5528334129911354
Estonia,1995,541.1,551.3,2.4,8,0.991570459959685
Estonia,1996,741.7,770.3,4.7,10.7,0.9704304592437526
Estonia,1997,1152.6,1046.5,6.1,14,1.1097631426920855
Estonia,1998,1249.5,1322.4,13.8,19.7,0.9491074819597417
Estonia,1999,1044,1524.1,6.8,26.3,0.6938721254818557
Estonia,2000,1297.7,1777,7.1,39.1,0.7436676217765044
Estonia,2001,1541.1,2128.1,9.8,48,0.7374037035264844
Estonia,2002,1807,2424.2,11.9,48.9,0.7569537533512065
Estonia,2003,2198.4,2810.6,7.5,49.1,0.7939328277356447
Estonia,2004,2414.4,3153.9,38.4,47.6,0.7677679905873374
Estonia,2005,2464.8,3751.5,50,65.3,0.6597077244258873
Estonia,2006,3366.3,4496.8,62.5,52.3,0.7469048147326381
Estonia,2007,4022.8,5134.1,90,110.7,0.7867172527085696
Estonia,2008,3126.8,4740.5,99.6,101.7,0.6598851933141988
Estonia,2009,1435.1,3551.3,96.4,82.6,0.4025413031892513
Estonia,2010,1874,4376.1,148.7,79.4,0.42155936473658157
Estonia,2011,2738.3,5486.9,154.7,90.6,0.49329850477391474
Estonia,2012,3366.2,5843.6,161,100.6,0.5701558265582656
Estonia,2013,3466.4,6148.3,157.4,110.1,0.5594938343340435
Estonia,2014,3419,6232.6,142.4,133.3,0.5477674351538844
Estonia,2015,2919.2,5718.4,178.6,124.9,0.5057431437431783
Euro area (19 countries),1999,864913.2386,1455350.5523,55594.24,83899.467,0.6060867326818606
