"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1995","1995","DKK","Danish Krone","6","Millions",,,131810,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1996","1996","DKK","Danish Krone","6","Millions",,,125285,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1997","1997","DKK","Danish Krone","6","Millions",,,151651,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1998","1998","DKK","Danish Krone","6","Millions",,,168437,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","DKK","Danish Krone","6","Millions",,,155910,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","DKK","Danish Krone","6","Millions",,,178841,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","DKK","Danish Krone","6","Millions",,,179303,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","DKK","Danish Krone","6","Millions",,,184074,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","DKK","Danish Krone","6","Millions",,,173716,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","DKK","Danish Krone","6","Millions",,,192116,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","DKK","Danish Krone","6","Millions",,,198575,,
"DNK","Denmark","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","DKK","Danish Krone","6","Millions",,,226607,,
