LOCATION,Country,TRANSACT,Transaction,SECTOR,Sector,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1995,1995,EUR,Euro,6,Millions,NA,NA,36707.9,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1996,1996,EUR,Euro,6,Millions,NA,NA,38900.6,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1997,1997,EUR,Euro,6,Millions,NA,NA,42700.4,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1998,1998,EUR,Euro,6,Millions,NA,NA,45348,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1999,1999,EUR,Euro,6,Millions,NA,NA,46780.6,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2000,2000,EUR,Euro,6,Millions,NA,NA,51526.2,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2001,2001,EUR,Euro,6,Millions,NA,NA,54016.8,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2002,2002,EUR,Euro,6,Millions,NA,NA,56342.5,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2003,2003,EUR,Euro,6,Millions,NA,NA,57813.2,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2004,2004,EUR,Euro,6,Millions,NA,NA,62745.3,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2005,2005,EUR,Euro,6,Millions,NA,NA,66647.2,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2006,2006,EUR,Euro,6,Millions,NA,NA,72450.8,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2007,2007,EUR,Euro,6,Millions,NA,NA,78225,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2008,2008,EUR,Euro,6,Millions,NA,NA,77565.2,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2009,2009,EUR,Euro,6,Millions,NA,NA,70624.1,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2010,2010,EUR,Euro,6,Millions,NA,NA,73265.7,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2011,2011,EUR,Euro,6,Millions,NA,NA,77357.3,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2012,2012,EUR,Euro,6,Millions,NA,NA,76654.2,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2013,2013,EUR,Euro,6,Millions,NA,NA,76044.1,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2014,2014,EUR,Euro,6,Millions,NA,NA,77761.3,NA,NA
AUT,Austria,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2015,2015,EUR,Euro,6,Millions,NA,NA,79403.4,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1995,1995,EUR,Euro,6,Millions,NA,NA,46209.8,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1996,1996,EUR,Euro,6,Millions,NA,NA,46450.9,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1997,1997,EUR,Euro,6,Millions,NA,NA,48646,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1998,1998,EUR,Euro,6,Millions,NA,NA,51087.7,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1999,1999,EUR,Euro,6,Millions,NA,NA,52060,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2000,2000,EUR,Euro,6,Millions,NA,NA,56738.4,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2001,2001,EUR,Euro,6,Millions,NA,NA,56521.3,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2002,2002,EUR,Euro,6,Millions,NA,NA,59789.8,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2003,2003,EUR,Euro,6,Millions,NA,NA,63360.3,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2004,2004,EUR,Euro,6,Millions,NA,NA,71971.6,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2005,2005,EUR,Euro,6,Millions,NA,NA,76988.5,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2006,2006,EUR,Euro,6,Millions,NA,NA,81178.1,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2007,2007,EUR,Euro,6,Millions,NA,NA,87360.2,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2008,2008,EUR,Euro,6,Millions,NA,NA,86113.7,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2009,2009,EUR,Euro,6,Millions,NA,NA,82739.5,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2010,2010,EUR,Euro,6,Millions,NA,NA,92978.2,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2011,2011,EUR,Euro,6,Millions,NA,NA,96501.9,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2012,2012,EUR,Euro,6,Millions,NA,NA,94855,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2013,2013,EUR,Euro,6,Millions,NA,NA,95250.4,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2014,2014,EUR,Euro,6,Millions,NA,NA,99802,NA,NA
BEL,Belgium,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2015,2015,EUR,Euro,6,Millions,NA,NA,105622.1,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1995,1995,DKK,Danish Krone,6,Millions,NA,NA,221794,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1996,1996,DKK,Danish Krone,6,Millions,NA,NA,230512,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1997,1997,DKK,Danish Krone,6,Millions,NA,NA,248594,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1998,1998,DKK,Danish Krone,6,Millions,NA,NA,240783,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1999,1999,DKK,Danish Krone,6,Millions,NA,NA,265913,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2000,2000,DKK,Danish Krone,6,Millions,NA,NA,315642,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2001,2001,DKK,Danish Krone,6,Millions,NA,NA,307111,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2002,2002,DKK,Danish Krone,6,Millions,NA,NA,310919,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2003,2003,DKK,Danish Krone,6,Millions,NA,NA,315943,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2004,2004,DKK,Danish Krone,6,Millions,NA,NA,342357,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2005,2005,DKK,Danish Krone,6,Millions,NA,NA,362435,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2006,2006,DKK,Danish Krone,6,Millions,NA,NA,393160,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2007,2007,DKK,Danish Krone,6,Millions,NA,NA,383139,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2008,2008,DKK,Danish Krone,6,Millions,NA,NA,401807,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2009,2009,DKK,Danish Krone,6,Millions,NA,NA,351166,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2010,2010,DKK,Danish Krone,6,Millions,NA,NA,411522,NA,NA
DNK,Denmark,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2011,2011,DKK,Danish Krone,6,Millions,NA,NA,420958,NA,NA
